ProductKey,SKU,ProductName,Category,Subcategory,PriceTier,UnitPrice,UnitCost
101,TP-AP101,Cinder Rain Jacket,Apparel,Jackets,Core,139.99,75.82
102,TP-AP102,Ridgeline Hiking Pants,Apparel,Baselayers,Premium,179.99,104.05
103,TP-AP103,Quartz Hiking Pants,Apparel,Pants,Premium,194.99,97.38
104,TP-AP104,Switchback Rain Jacket,Apparel,Fleece,Value,64.99,32.25
105,TP-AP105,Cornice Grid Fleece,Apparel,Jackets,Premium,164.99,88.91
106,TP-AP106,Granite Merino Baselayer,Apparel,Baselayers,Core,134.99,65.04
107,TP-AP107,Switchback Insulated Vest,Apparel,Pants,Core,84.99,48.47
108,TP-AP108,Tundra Hiking Pants,Apparel,Fleece,Premium,159.99,89.53
109,TP-AP109,Falcon Shell Jacket,Apparel,Jackets,Value,74.99,34.06
110,TP-AP110,Trailhead Insulated Vest,Apparel,Baselayers,Core,84.99,40.58
111,TP-AP111,Compass Rain Jacket,Apparel,Pants,Value,74.99,38.61
112,TP-AP112,Sierra Softshell,Apparel,Fleece,Value,59.99,28.08
113,TP-AP113,Juniper Grid Fleece,Apparel,Jackets,Premium,174.99,88.49
114,TP-AP114,Compass Insulated Vest,Apparel,Baselayers,Core,99.99,57.96
115,TP-AP115,Basecamp Softshell,Apparel,Pants,Value,49.99,22.8
116,TP-AP116,Alpine Merino Baselayer,Apparel,Fleece,Core,149.99,82.94
117,TP-AP117,Ember Down Parka,Apparel,Jackets,Core,104.99,55.38
118,TP-AP118,Switchback Grid Fleece,Apparel,Baselayers,Premium,214.99,120.8
119,TP-AP119,Summit Down Parka,Apparel,Pants,Premium,159.99,83.16
120,TP-AP120,Glacier Rain Jacket,Apparel,Fleece,Value,54.99,27.85
121,TP-AP121,Switchback Shell Jacket,Apparel,Jackets,Premium,209.99,118.41
122,TP-AP122,Glacier Merino Baselayer,Apparel,Baselayers,Core,129.99,60.29
123,TP-AP123,Drift Grid Fleece,Apparel,Pants,Premium,189.99,98.03
124,TP-AP124,Timber Merino Baselayer,Apparel,Fleece,Core,104.99,49.45
125,TP-AP125,Latitude Rain Jacket,Apparel,Jackets,Core,124.99,58.06
126,TP-AP126,Peakline Grid Fleece,Apparel,Baselayers,Core,79.99,38.5
127,TP-AP127,Compass Down Parka,Apparel,Pants,Value,49.99,25.65
128,TP-AP128,Meridian Merino Baselayer,Apparel,Fleece,Core,84.99,47.88
129,TP-AP129,Ember Hiking Pants,Apparel,Jackets,Premium,204.99,112.37
130,TP-AP130,Tundra Grid Fleece,Apparel,Baselayers,Core,109.99,59.1
131,TP-FO131,Peakline Winter Boot,Footwear,Hiking Boots,Premium,294.99,150.06
132,TP-FO132,Boulder Trail Runner,Footwear,Trail Runners,Value,104.99,47.53
133,TP-FO133,Meridian Trail Runner,Footwear,Approach Shoes,Core,224.99,101.46
134,TP-FO134,Tundra Hiking Boot,Footwear,Hiking Boots,Core,144.99,82.31
135,TP-FO135,Quartz Approach Shoe,Footwear,Trail Runners,Value,104.99,50.49
136,TP-FO136,Cornice Winter Boot,Footwear,Approach Shoes,Core,139.99,65.4
137,TP-FO137,Vista Mid GTX Boot,Footwear,Hiking Boots,Core,224.99,108.35
138,TP-FO138,Highline Winter Boot,Footwear,Trail Runners,Core,134.99,62.45
139,TP-FO139,Ember Approach Shoe,Footwear,Approach Shoes,Core,184.99,94.48
140,TP-FO140,Juniper Hiking Boot,Footwear,Hiking Boots,Core,244.99,141.59
141,TP-FO141,Alpine Hiking Boot,Footwear,Trail Runners,Core,184.99,91.41
142,TP-FO142,Quartz Hiking Boot,Footwear,Approach Shoes,Core,144.99,68.83
143,TP-FO143,Switchback Trail Runner,Footwear,Hiking Boots,Core,184.99,89.94
144,TP-FO144,Boulder Hiking Boot,Footwear,Trail Runners,Core,189.99,106.77
145,TP-FO145,Meridian Hiking Boot,Footwear,Approach Shoes,Value,99.99,57.98
146,TP-FO146,Cinder Hiking Boot,Footwear,Hiking Boots,Premium,314.99,179.68
147,TP-FO147,Quartz Trail Runner,Footwear,Trail Runners,Core,129.99,66.7
148,TP-FO148,Timber Winter Boot,Footwear,Approach Shoes,Premium,299.99,141.42
149,TP-FO149,Summit Winter Boot,Footwear,Hiking Boots,Core,149.99,82.78
150,TP-FO150,Switchback Approach Shoe,Footwear,Trail Runners,Core,184.99,106.27
151,TP-CA151,Osprey Sleeping Pad,Camping & Hiking,Tents,Value,114.99,56.18
152,TP-CA152,Ridgeline 2P Tent,Camping & Hiking,Sleeping Bags,Premium,454.99,208.13
153,TP-CA153,Compass Sleeping Pad,Camping & Hiking,Packs,Core,314.99,176.66
154,TP-CA154,Cascade 2P Tent,Camping & Hiking,Stoves,Premium,574.99,264.73
155,TP-CA155,Cascade 4P Tent,Camping & Hiking,Tents,Core,364.99,196.28
156,TP-CA156,Boulder Canister Stove,Camping & Hiking,Sleeping Bags,Value,94.99,53.74
157,TP-CA157,Boulder 2P Tent,Camping & Hiking,Packs,Premium,379.99,191.7
158,TP-CA158,Compass 65L Pack,Camping & Hiking,Stoves,Premium,559.99,266.87
159,TP-CA159,Tundra 65L Pack,Camping & Hiking,Tents,Value,159.99,80.23
160,TP-CA160,Cornice 45L Pack,Camping & Hiking,Sleeping Bags,Core,289.99,165.52
161,TP-CA161,Vista 4P Tent,Camping & Hiking,Packs,Value,29.99,15.92
162,TP-CA162,Compass 4P Tent,Camping & Hiking,Stoves,Value,64.99,31.05
163,TP-CA163,Glacier 20F Sleeping Bag,Camping & Hiking,Tents,Premium,559.99,316.12
164,TP-CA164,Sierra 0F Sleeping Bag,Camping & Hiking,Sleeping Bags,Core,234.99,110.56
165,TP-CA165,Cinder 45L Pack,Camping & Hiking,Packs,Core,374.99,216.87
166,TP-CA166,Drift 2P Tent,Camping & Hiking,Stoves,Premium,409.99,214.06
167,TP-CA167,Sierra 20F Sleeping Bag,Camping & Hiking,Tents,Value,174.99,98.99
168,TP-CA168,Juniper 20F Sleeping Bag,Camping & Hiking,Sleeping Bags,Value,179.99,95.15
169,TP-CA169,Timber 45L Pack,Camping & Hiking,Packs,Core,314.99,152.03
170,TP-CA170,Vista 2P Tent,Camping & Hiking,Stoves,Value,79.99,40.4
171,TP-CA171,Glacier 2P Tent,Camping & Hiking,Tents,Value,24.99,13.75
172,TP-CA172,Drift 45L Pack,Camping & Hiking,Sleeping Bags,Value,119.99,60.89
173,TP-CA173,Tundra Canister Stove,Camping & Hiking,Packs,Core,349.99,162.59
174,TP-CA174,Meridian 2P Tent,Camping & Hiking,Stoves,Premium,504.99,265.49
175,TP-CA175,Basecamp Canister Stove,Camping & Hiking,Tents,Value,99.99,49.0
176,TP-CL176,Sierra Belay Device,Climbing,Harnesses,Premium,439.99,200.28
177,TP-CL177,Peakline 9.8mm Rope,Climbing,Ropes,Premium,314.99,169.06
178,TP-CL178,Peakline Belay Device,Climbing,Protection,Core,259.99,146.56
179,TP-CL179,Latitude Chalk Bag,Climbing,Shoes,Value,84.99,48.52
180,TP-CL180,Quartz 9.8mm Rope,Climbing,Harnesses,Premium,439.99,244.37
181,TP-CL181,Sierra Quickdraw Pack,Climbing,Ropes,Value,29.99,16.37
182,TP-CL182,Trailhead Belay Device,Climbing,Protection,Premium,419.99,232.8
183,TP-CL183,Quartz Chalk Bag,Climbing,Shoes,Premium,369.99,179.33
184,TP-CL184,Osprey Chalk Bag,Climbing,Harnesses,Value,64.99,36.61
185,TP-CL185,Quartz Quickdraw Pack,Climbing,Ropes,Value,114.99,63.95
186,TP-CL186,Switchback Cam Set,Climbing,Protection,Core,149.99,83.0
187,TP-CL187,Boulder 9.8mm Rope,Climbing,Shoes,Value,29.99,14.25
188,TP-CL188,Trailhead Cam Set,Climbing,Harnesses,Premium,389.99,224.52
189,TP-CL189,Glacier Cam Set,Climbing,Ropes,Premium,294.99,148.07
190,TP-CL190,Cinder Climbing Shoe,Climbing,Protection,Core,159.99,72.57
191,TP-WI191,Sierra Snowboard,Winter Sports,Skis,Value,239.99,138.03
192,TP-WI192,Glacier All-Mountain Ski,Winter Sports,Snowboards,Value,194.99,98.76
193,TP-WI193,Juniper Snowboard,Winter Sports,Avalanche Safety,Core,414.99,239.84
194,TP-WI194,Alpine Avalanche Beacon,Winter Sports,Skis,Premium,729.99,346.53
195,TP-WI195,Ridgeline Climbing Skins,Winter Sports,Snowboards,Core,414.99,214.79
196,TP-WI196,Osprey Snow Shovel,Winter Sports,Avalanche Safety,Premium,584.99,334.75
197,TP-WI197,Juniper Climbing Skins,Winter Sports,Skis,Value,254.99,129.04
198,TP-WI198,Cornice Snowboard,Winter Sports,Snowboards,Core,544.99,292.25
199,TP-WI199,Alpine Climbing Skins,Winter Sports,Avalanche Safety,Premium,729.99,376.62
200,TP-WI200,Cornice Avalanche Beacon,Winter Sports,Skis,Core,339.99,183.81
201,TP-WI201,Meridian Touring Ski,Winter Sports,Snowboards,Value,249.99,134.1
202,TP-WI202,Northwind Climbing Skins,Winter Sports,Avalanche Safety,Premium,629.99,297.75
203,TP-WI203,Compass Snowboard,Winter Sports,Skis,Core,394.99,220.56
204,TP-WI204,Canyon Snowboard,Winter Sports,Snowboards,Value,264.99,146.31
205,TP-WI205,Latitude Climbing Skins,Winter Sports,Avalanche Safety,Core,339.99,172.52
206,TP-AC206,Cornice Headlamp,Accessories,Bottles,Core,64.99,35.95
207,TP-AC207,Osprey Dry Bag,Accessories,Headlamps,Value,29.99,13.83
208,TP-AC208,Stonefall Dry Bag,Accessories,Navigation,Premium,79.99,39.48
209,TP-AC209,Cinder First Aid Kit,Accessories,Socks,Value,34.99,17.16
210,TP-AC210,Osprey Headlamp,Accessories,Bottles,Value,24.99,11.4
211,TP-AC211,Highline Wool Socks,Accessories,Headlamps,Premium,104.99,48.24
212,TP-AC212,Ember Dry Bag,Accessories,Navigation,Core,74.99,40.75
213,TP-AC213,Northwind Trekking Poles,Accessories,Socks,Core,54.99,25.8
214,TP-AC214,Tundra Water Bottle,Accessories,Bottles,Premium,109.99,61.8
215,TP-AC215,Sierra Water Bottle,Accessories,Headlamps,Premium,94.99,45.45
216,TP-AC216,Stonefall Trekking Poles,Accessories,Navigation,Value,14.99,7.23
217,TP-AC217,Quartz Water Bottle,Accessories,Socks,Core,59.99,33.25
218,TP-AC218,Cornice Wool Socks,Accessories,Bottles,Premium,119.99,63.28
219,TP-AC219,Falcon Trekking Poles,Accessories,Headlamps,Core,74.99,40.76
220,TP-AC220,Cinder Wool Socks,Accessories,Navigation,Core,59.99,28.24
